Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "BeanCounter-Panel.brd" as of: 8/5/2022 2:25 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
BT1,Bottom,4.076,0.510,270
BT2,Bottom,4.076,2.810,270
C1,Top,0.990,0.300,270
C2,Top,1.440,0.500,90
C3,Top,1.040,0.600,270
C4,Top,0.990,2.600,270
C5,Top,1.440,2.800,90
C6,Top,1.040,2.900,270
D1,Top,0.785,1.855,90
D1S1,Top,2.190,0.900,0
D1S2,Top,1.990,0.700,90
D1S3,Top,1.990,3.000,90
D1S4,Top,2.190,0.500,0
D1S5,Top,1.990,0.300,90
D1S6,Top,2.390,0.300,90
D1S7,Top,2.190,0.100,0
D1S8,Top,1.990,2.600,90
D1S9,Top,2.390,2.600,90
D1S10,Top,2.190,3.200,0
D1S11,Top,2.190,2.800,0
D1S12,Top,2.190,2.400,0
D2,Top,0.785,4.155,90
D2S1,Top,2.890,0.900,0
D2S2,Top,2.690,0.700,90
D2S3,Top,3.090,0.700,90
D2S4,Top,2.890,0.500,0
D2S5,Top,2.690,0.300,90
D2S6,Top,3.090,0.300,90
D2S7,Top,2.890,0.100,0
D2S8,Top,2.690,3.000,90
D2S9,Top,3.090,3.000,90
D2S10,Top,2.690,2.600,90
D2S11,Top,3.090,2.600,90
D2S12,Top,2.890,3.200,0
D2S13,Top,2.890,2.800,0
D2S14,Top,2.890,2.400,0
D3,Top,0.786,1.580,270
D3S1,Top,3.590,0.900,0
D3S2,Top,3.390,0.700,90
D3S3,Top,3.790,0.700,90
D3S4,Top,3.590,0.500,0
D3S5,Top,3.390,0.300,90
D3S6,Top,3.790,0.300,90
D3S7,Top,3.590,0.100,0
D3S8,Top,3.390,3.000,90
D3S9,Top,3.790,3.000,90
D3S10,Top,3.390,2.600,90
D3S11,Top,3.790,2.600,90
D3S12,Top,3.590,3.200,0
D3S13,Top,3.590,2.800,0
D3S14,Top,3.590,2.400,0
D4,Top,0.786,3.880,270
DIS1,Top,2.390,3.000,90
DIS3,Top,2.390,0.700,90
E$1,Top,0.270,4.662,0
E$2,Bottom,0.270,4.662,0
E$3,Top,4.308,4.662,0
E$4,Bottom,4.308,4.662,0
E$5,Top,0.270,-0.212,0
E$6,Bottom,0.270,-0.212,0
Q1,Top,1.740,0.300,270
Q2,Top,1.740,0.150,270
Q3,Top,1.740,0.450,270
Q4,Top,1.740,2.600,270
Q5,Top,1.740,2.450,270
Q6,Top,1.740,2.750,270
R1,Top,1.190,1.850,270
R2,Top,1.690,0.900,0
R3,Top,1.690,0.850,0
R4,Top,1.690,0.800,0
R5,Top,1.690,0.750,0
R6,Top,1.690,0.700,0
R7,Top,1.690,0.650,0
R8,Top,1.690,0.600,0
R9,Top,1.640,0.300,90
R10,Top,1.640,0.150,90
R11,Top,1.640,0.450,90
R12,Top,1.040,0.300,90
R13,Top,1.440,0.350,90
R14,Top,0.990,0.600,90
R15,Top,1.191,1.573,90
R16,Top,1.690,3.200,0
R17,Top,1.690,3.150,0
R18,Top,1.690,3.100,0
R19,Top,1.690,3.050,0
R20,Top,1.690,3.000,0
R21,Top,1.690,2.950,0
R22,Top,1.690,2.900,0
R23,Top,1.640,2.600,90
R24,Top,1.640,2.450,90
R25,Top,1.640,2.750,90
R26,Top,1.040,2.600,90
R27,Top,1.440,2.650,90
R28,Top,0.990,2.900,90
R29,Top,1.190,4.150,270
R30,Top,1.191,3.873,90
S1,Top,4.390,0.750,0
S2,Top,4.390,0.250,0
S3,Top,1.386,0.938,0
S4,Top,4.390,3.050,0
S5,Top,4.390,2.550,0
S6,Top,1.386,3.238,0
U$31,Top,0.785,0.297,180
U$32,Top,0.785,0.573,180
U$63,Top,0.785,2.598,180
U$64,Top,0.785,2.873,180
U1,Top,1.240,0.500,0
U2,Top,1.240,2.800,0
